sequence_id,timestep,heart_rate_bpm,hrv_ms,blood_oxygen_pct,accel_g,resp_rate_bpm,skin_temp_c,gsr_microsiemens,noise_db,steps_per_min,sleep_debt_hours,activity_level,noise_environment,skin_temp_profile,gsr_state,label
0,0,67.16,56.35,97.22,0.143,12.01,36.54,4.77,38.56,22,0.24,moderate,quiet,normal,alert,rested
0,1,69.96,55.71,97.37,0.209,11.15,36.56,5.18,38.23,19,0.24,sedentary,quiet,normal,alert,rested
0,2,67.92,48.76,97.26,0.311,12.21,36.53,4.85,39.17,24,0.24,moderate,quiet,normal,alert,rested
0,3,63.26,54.1,96.85,0.062,11.24,36.49,4.93,40.8,11,0.24,sedentary,busy,normal,alert,rested
0,4,67.55,48.57,97.51,0.243,11.58,36.57,4.79,39.8,21,0.24,moderate,quiet,normal,alert,rested
0,5,65.96,48.8,97.34,0.218,11.71,36.51,5.22,35.73,9,0.24,sedentary,quiet,normal,alert,rested
0,6,65.96,53.99,97.93,0.307,12.16,36.51,4.01,36.66,20,0.24,sedentary,quiet,normal,calm,rested
0,7,59.68,48.82,97.93,0.194,11.63,36.54,5.05,40.53,9,0.24,sedentary,busy,normal,alert,rested
0,8,61.11,45.19,98.31,0.151,11.03,36.55,4.04,37.12,0,0.24,sedentary,quiet,normal,calm,rested
0,9,59.02,44.93,98.13,0.276,10.95,36.52,4.28,41.88,15,0.24,sedentary,busy,normal,calm,rested
0,10,61.63,42.56,98.22,0.213,11.58,36.51,4.91,37.05,17,0.24,sedentary,quiet,normal,alert,rested
0,11,60.47,43.03,97.31,0.174,11.58,36.55,4.62,30.16,11,0.24,sedentary,quiet,normal,alert,rested
0,12,60.84,41.96,97.41,0.193,11.65,36.47,4.37,43.35,2,0.24,sedentary,busy,normal,calm,rested
0,13,57.86,42.98,97.07,0.222,9.79,36.57,4.58,46.59,5,0.24,sedentary,busy,normal,alert,rested
0,14,61.55,37.94,97.44,0.244,11.47,36.45,4.95,40.59,11,0.24,sedentary,busy,normal,alert,rested
0,15,59.35,41.25,97.2,0.136,10.45,36.53,5.32,36.22,3,0.24,sedentary,quiet,normal,alert,rested
0,16,53.16,39.25,97.45,0.32,11.13,36.54,4.44,39.75,3,0.24,sedentary,quiet,normal,calm,rested
0,17,57.9,37.8,97.74,0.28,10.62,36.62,5.0,39.08,12,0.24,sedentary,quiet,normal,alert,rested
0,18,56.97,38.59,97.29,0.408,10.22,36.59,5.22,36.51,0,0.24,sedentary,quiet,normal,alert,rested
0,19,56.89,39.88,96.98,0.371,10.49,36.52,5.04,37.79,0,0.24,sedentary,quiet,normal,alert,rested
0,20,57.15,38.89,96.9,0.35,10.4,36.55,5.02,42.13,0,0.24,sedentary,busy,normal,alert,rested
0,21,56.96,39.02,98.11,0.161,10.52,36.58,4.87,45.25,0,0.24,sedentary,busy,normal,alert,rested
0,22,61.7,37.8,97.35,0.265,9.7,36.61,4.8,39.23,0,0.24,sedentary,quiet,normal,alert,rested
0,23,61.29,38.87,97.93,0.213,10.32,36.77,4.61,33.13,0,0.24,sedentary,quiet,normal,alert,rested
0,24,57.75,41.84,97.79,0.258,9.22,36.6,5.21,39.78,0,0.24,sedentary,quiet,normal,alert,rested
0,25,56.86,44.45,98.18,0.305,10.43,36.57,4.54,38.25,3,0.24,sedentary,quiet,normal,alert,rested
0,26,58.86,39.45,96.93,0.179,9.62,36.67,4.04,37.14,4,0.24,sedentary,quiet,normal,calm,rested
0,27,61.76,41.82,97.86,0.192,9.95,36.62,5.13,41.96,5,0.24,sedentary,busy,normal,alert,rested
0,28,66.89,42.33,97.79,0.233,10.35,36.77,5.05,33.68,1,0.24,sedentary,quiet,normal,alert,rested
0,29,60.31,45.67,97.09,0.016,9.44,36.66,4.49,39.8,0,0.24,sedentary,quiet,normal,calm,rested
0,30,56.9,38.21,97.86,0.218,11.29,36.71,4.38,43.24,5,0.24,sedentary,busy,normal,calm,rested
0,31,59.06,43.72,97.59,0.01,10.9,36.68,4.24,35.86,10,0.24,sedentary,quiet,normal,calm,rested
0,32,65.78,46.43,97.73,0.134,10.88,36.61,4.22,38.37,20,0.24,moderate,quiet,normal,calm,rested
0,33,64.63,50.46,97.68,0.242,10.36,36.69,4.36,35.4,23,0.24,moderate,quiet,normal,calm,rested
0,34,64.47,42.69,98.08,0.18,11.16,36.69,4.44,31.17,5,0.24,sedentary,quiet,normal,calm,rested
0,35,65.75,53.32,98.52,0.378,10.04,36.71,3.84,44.13,15,0.24,sedentary,busy,normal,calm,rested
0,36,61.69,56.42,97.92,0.1,11.56,36.63,4.53,36.95,23,0.24,moderate,quiet,normal,alert,rested
0,37,61.67,52.26,98.29,0.197,11.61,36.67,4.37,40.86,17,0.24,sedentary,busy,normal,calm,rested
0,38,63.51,57.44,97.8,0.257,11.2,36.61,5.02,38.01,20,0.24,moderate,quiet,normal,alert,rested
0,39,65.97,54.76,97.36,0.333,11.55,36.69,4.92,37.95,14,0.24,sedentary,quiet,normal,alert,rested
0,40,64.57,51.34,96.95,0.339,11.71,36.71,5.46,38.24,11,0.24,sedentary,quiet,normal,alert,rested
0,41,66.37,53.88,96.69,0.245,11.97,36.6,4.59,35.43,31,0.24,moderate,quiet,normal,alert,rested
0,42,67.24,52.03,97.1,0.335,11.44,36.64,5.08,40.92,30,0.24,moderate,busy,normal,alert,rested
0,43,66.48,58.21,96.9,0.222,12.6,36.65,4.88,34.31,25,0.24,moderate,quiet,normal,alert,rested
0,44,66.4,52.2,96.94,0.27,10.62,36.62,4.95,36.53,28,0.24,moderate,quiet,normal,alert,rested
0,45,69.52,53.17,96.93,0.306,10.99,36.57,4.71,38.84,23,0.24,moderate,quiet,normal,alert,rested
0,46,68.0,58.28,97.3,0.227,11.16,36.61,5.05,43.6,17,0.24,sedentary,busy,normal,alert,rested
0,47,67.79,54.45,97.2,0.258,10.83,36.61,5.06,42.32,35,0.24,moderate,busy,normal,alert,rested
1,0,68.01,60.81,96.51,0.289,11.02,36.46,4.29,33.76,28,0.27,moderate,quiet,normal,calm,rested
